region,ingredient,count,tf,idf,weight
africa,salad,1,0.0015384615384615385,0.3136575588550416,0.0004825500905462178
africa,salad dressing,1,0.0015384615384615385,0.4855078157817008,0.0007469351012026166
africa,salmon,6,0.009230769230769232,0.2135741002980591,0.0019714532335205455
africa,salt pepper,36,0.055384615384615386,0.08004270767353636,0.004433134578842013
africa,sardine,2,0.003076923076923077,0.7731898882334817,0.0023790458099491743
africa,sauce  soybean,4,0.006153846153846154,0.16705408466316624,0.0010280251363887153
africa,sausage,4,0.006153846153846154,0.08004270767353636,0.0004925705087602237
africa,scallion,18,0.027692307692307693,0.16705408466316624,0.004626113113749219
africa,scallop,1,0.0015384615384615385,0.16705408466316624,0.00025700628409717883
africa,scotch,2,0.003076923076923077,0.6931471805599453,0.0021327605555690626
africa,self rising flour,3,0.004615384615384616,0.36772478012531734,0.0016971912928860802
africa,semolina,9,0.013846153846153847,0.6190392084062235,0.008571312116393864
africa,sesame,21,0.03230769230769231,0.26236426446749106,0.008476383928949711
africa,shallot,15,0.023076923076923078,0.12260232209233228,0.002829284355976899
africa,sherry,5,0.007692307692307693,0.12260232209233228,0.000943094785325633
africa,shiitake,2,0.003076923076923077,0.3136575588550416,0.0009651001810924356
africa,shortening,2,0.003076923076923077,0.16705408466316624,0.0005140125681943577
africa,shrimp,11,0.016923076923076923,0.12260232209233228,0.0020748085277163923
africa,sirloin,2,0.003076923076923077,0.16705408466316624,0.0005140125681943577
africa,snapper,2,0.003076923076923077,0.3136575588550416,0.0009651001810924356
africa,sole,1,0.0015384615384615385,0.9555114450274363,0.0014700176077345176
africa,sorrel,1,0.0015384615384615385,1.1786549963416462,0.001813315378987148
africa,soup,1,0.0015384615384615385,0.9555114450274363,0.0014700176077345176
africa,soy sauce,8,0.012307692307692308,0.12260232209233228,0.0015089516565210126
africa,spaghetti,2,0.003076923076923077,0.4248831939652659,0.0013073329045085104
africa,spanish  sage,1,0.0015384615384615385,1.1786549963416462,0.001813315378987148
africa,spinach,21,0.03230769230769231,0.16705408466316624,0.0053971319660407555
africa,spring  onion,2,0.003076923076923077,0.8602012652231116,0.0026467731237634204
africa,squab,1,0.0015384615384615385,1.8718021769015913,0.002879695656771679
africa,squash yellow,9,0.013846153846153847,0.4248831939652659,0.005882998070288297
africa,squid,1,0.0015384615384615385,0.6931471805599453,0.0010663802777845313
africa,steak,10,0.015384615384615385,0.12260232209233228,0.001886189570651266
africa,string  bean,1,0.0015384615384615385,0.4855078157817008,0.0007469351012026166
africa,sturgeon,1,0.0015384615384615385,1.8718021769015913,0.002879695656771679
africa,sultana,1,0.0015384615384615385,0.9555114450274363,0.0014700176077345176
africa,sunflower,2,0.003076923076923077,0.36772478012531734,0.0011314608619240533
africa,sweet corn,1,0.0015384615384615385,0.7731898882334817,0.0011895229049745872
africa,swordfish,3,0.004615384615384616,0.7731898882334817,0.003568568714923762
africa,syrup,1,0.0015384615384615385,0.08004270767353636,0.00012314262719005593
africa,tahini,8,0.012307692307692308,0.8602012652231116,0.010587092495053681
africa,tamarind,1,0.0015384615384615385,0.8602012652231116,0.0013233865618817102
africa,tangerine,1,0.0015384615384615385,0.6931471805599453,0.0010663802777845313
africa,tarragon,1,0.0015384615384615385,0.26236426446749106,0.00040363732994998626
africa,tea,2,0.003076923076923077,0.6931471805599453,0.0021327605555690626
africa,tea green,2,0.003076923076923077,1.3121863889661687,0.004037496581434365
africa,thyme,34,0.052307692307692305,0.0,0.0
africa,tofu,4,0.006153846153846154,0.4248831939652659,0.002614665809017021
africa,tomato,172,0.26461538461538464,0.0,0.0
africa,tomato paste,58,0.08923076923076922,0.08004270767353636,0.007142272377023243
africa,tomato puree,10,0.015384615384615385,0.4855078157817008,0.007469351012026167
africa,topping,2,0.003076923076923077,0.3136575588550416,0.0009651001810924356
africa,tortilla,1,0.0015384615384615385,0.3136575588550416,0.0004825500905462178
africa,truffle,1,0.0015384615384615385,0.6190392084062235,0.0009523680129326516
africa,tumeric,2,0.003076923076923077,1.466337068793427,0.0045118063655182365
africa,tuna,1,0.0015384615384615385,0.26236426446749106,0.00040363732994998626
africa,turkey,8,0.012307692307692308,0.16705408466316624,0.0020560502727774307
africa,turmeric,94,0.14461538461538462,0.2135741002980591,0.030886100658488548
africa,turnip,18,0.027692307692307693,0.2135741002980591,0.005914359700561637
africa,vanilla,16,0.024615384615384615,0.03922071315328133,0.0009654329391576942
africa,veal,1,0.0015384615384615385,0.550046336919272,0.0008462251337219568
africa,vegetable broth,24,0.036923076923076927,0.26236426446749106,0.00968729591879967
africa,vegetable juice,1,0.0015384615384615385,1.0608719606852626,0.0016321107087465577
africa,vegetable oil,96,0.1476923076923077,0.0,0.0
africa,vegetable stock,11,0.016923076923076923,0.2135741002980591,0.003614330928121
africa,vermicelli,3,0.004615384615384616,0.7731898882334817,0.003568568714923762
africa,vinegar,48,0.07384615384615385,0.03922071315328133,0.002896298817473083
africa,vodka,1,0.0015384615384615385,0.26236426446749106,0.00040363732994998626
africa,walnut,7,0.010769230769230769,0.12260232209233228,0.001320332699455886
africa,watercres,1,0.0015384615384615385,0.36772478012531734,0.0005657304309620267
africa,wheat,6,0.009230769230769232,0.16705408466316624,0.001542037704583073
africa,wine red,8,0.012307692307692308,0.08004270767353636,0.0009851410175204475
africa,wine white,12,0.018461538461538463,0.08004270767353636,0.0014777115262806714
africa,worcestershire sauce,7,0.010769230769230769,0.08004270767353636,0.0008619983903303915
africa,yam,4,0.006153846153846154,1.0608719606852626,0.006528442834986231
africa,yeast,11,0.016923076923076923,0.08004270767353636,0.0013545688990906153
africa,yoghurt,1,0.0015384615384615385,1.8718021769015913,0.002879695656771679
africa,yogurt,29,0.04461538461538461,0.16705408466316624,0.007453182238818186
africa,zucchini,37,0.05692307692307692,0.2135741002980591,0.012157294940043363
africa,zucchini green,1,0.0015384615384615385,0.8602012652231116,0.0013233865618817102
australia & nz,alfalfa,1,0.002028397565922921,0.9555114450274363,0.0019381570893051447
australia & nz,allspice,1,0.002028397565922921,0.12260232209233228,0.0002486862517085847
australia & nz,almond,26,0.05273833671399594,0.03922071315328133,0.0020684351764408003
australia & nz,anchovy,2,0.004056795131845842,0.26236426446749106,0.0010643580708620327
australia & nz,apple,18,0.036511156186612576,0.12260232209233228,0.004476352530754526
australia & nz,apple juice,1,0.002028397565922921,0.3136575588550416,0.0006362222289148917
australia & nz,applesauce,1,0.002028397565922921,0.6931471805599453,0.0014059780538741283
australia & nz,apricot,4,0.008113590263691683,0.26236426446749106,0.0021287161417240653
australia & nz,arrowroot,1,0.002028397565922921,0.6190392084062235,0.0012556576235420356
australia & nz,artichoke,13,0.02636916835699797,0.6190392084062235,0.016323549106046463
australia & nz,asparagu,6,0.012170385395537525,0.36772478012531734,0.00447535229361441
australia & nz,avocado,15,0.030425963488843813,0.2135741002980591,0.006498197777831413
australia & nz,bacon,10,0.02028397565922921,0.08004270767353636,0.0016235843341488104
australia & nz,baguette,3,0.006085192697768763,0.4248831939652659,0.002585496109322105
australia & nz,baking mix,3,0.006085192697768763,1.466337068793427,0.008922943623489414
australia & nz,baking powder,17,0.034482758620689655,0.0,0.0
australia & nz,baking soda,15,0.030425963488843813,0.12260232209233228,0.0037302937756287713
australia & nz,banana,7,0.014198782961460446,0.08004270767353636,0.0011365090339041674
australia & nz,barbeque sauce,1,0.002028397565922921,1.0608719606852626,0.0021518701028098632
australia & nz,basil,32,0.06490872210953347,0.12260232209233228,0.007957960054674711
australia & nz,basmati,1,0.002028397565922921,0.6190392084062235,0.0012556576235420356
australia & nz,bay leaf,12,0.02434077079107505,0.03922071315328133,0.0009546623891265232
australia & nz,bean,20,0.04056795131845842,0.08004270767353636,0.0032471686682976207
australia & nz,bean green,10,0.02028397565922921,0.12260232209233228,0.0024868625170858475
australia & nz,bean kidney,1,0.002028397565922921,0.4855078157817008,0.0009848028717681558
australia & nz,beef,25,0.05070993914807302,0.03922071315328133,0.0019888799773469233
australia & nz,beer,2,0.004056795131845842,0.16705408466316624,0.0006777041974164959
australia & nz,blackberry,6,0.012170385395537525,0.6190392084062235,0.007533945741252213
australia & nz,blueberry,9,0.018255578093306288,0.6190392084062235,0.011300918611878319
australia & nz,bouillon,10,0.02028397565922921,0.08004270767353636,0.0016235843341488104
australia & nz,brandy,5,0.010141987829614604,0.3136575588550416,0.0031811111445744582
australia & nz,bread,24,0.0486815415821501,0.03922071315328133,0.0019093247782530464
australia & nz,bread pita,2,0.004056795131845842,0.8602012652231116,0.0034896603051647527
australia & nz,bread white,3,0.006085192697768763,0.16705408466316624,0.0010165562961247437
australia & nz,bread whole wheat,3,0.006085192697768763,0.550046336919272,0.0033471379528556104
australia & nz,broccoli,10,0.02028397565922921,0.36772478012531734,0.00745892048935735
australia & nz,brussel sprout,4,0.008113590263691683,0.550046336919272,0.0044628506038074806
australia & nz,bun,1,0.002028397565922921,1.3121863889661687,0.002661635677416164
australia & nz,buttermilk,3,0.006085192697768763,0.36772478012531734,0.002237676146807205
australia & nz,butternut squash,5,0.010141987829614604,0.36772478012531734,0.003729460244678675
australia & nz,cabbage,10,0.02028397565922921,0.08004270767353636,0.0016235843341488104
